Variable type,Column Name,Data Type,Description,Whole dataset,Admitted,Not admitted
not used in training,snapshot_date,object,"Date of visit, shifted by a random number of days",Date Range: 2030-04-01 - 2032-04-30,Date Range: 2030-04-01 - 2032-04-30,Date Range: 2030-04-01 - 2032-04-30
not used in training,prediction_time,object,The time of day at which the visit was observed,"Frequencies: {(12, 0): 47,534, (15, 30): 57,791, (22, 0): 47,966, (6, 0): 20,416, (9, 30): 28,637}","Frequencies: {(12, 0): 6,244, (15, 30): 9,176, (22, 0): 8,190, (6, 0): 3,823, (9, 30): 3,943}","Frequencies: {(12, 0): 41,290, (15, 30): 48,615, (22, 0): 39,776, (6, 0): 16,593, (9, 30): 24,694}"
not used in training,visit_number,float64,"Hospital visit number (replaced with fictional number, but consistent across visit snapshots is retained)",,,
not used in training,training_validation_test,object,"Whether visit snapshot is assigned to training, validation or test set","Frequencies: {test: 45,094, train: 145,509, valid: 11,741}","Frequencies: {test: 6,864, train: 22,495, valid: 2,017}","Frequencies: {test: 38,230, train: 123,014, valid: 9,724}"
not used in training,random_number,int64,A number added to enable sampling of one snapshot per visit,"Range: 1 - 202341, Mean: 101013.80, Std Dev: 58457.88, NA: 0","Range: 5 - 202337, Mean: 100572.43, Std Dev: 58890.59, NA: 0","Range: 1 - 202341, Mean: 101094.80, Std Dev: 58377.93, NA: 0"
arrival and demographic,elapsed_los,float64,Elapsed time since patient arrived in ED (seconds),"Range: 0.00 - 246677.00,  Mean: 13608.95, Std Dev: 16812.72, NA: 0","Range: 0.00 - 225135.00,  Mean: 16523.04, Std Dev: 16749.53, NA: 0","Range: 0.00 - 246677.00,  Mean: 13074.15, Std Dev: 16769.43, NA: 0"
arrival and demographic,sex,object,Sex of patient,"Frequencies: {F: 105,736, I: 66, M: 96,325, U: 217}","Frequencies: {F: 16,016, I: 8, M: 15,339, U: 13}","Frequencies: {F: 89,720, I: 58, M: 80,986, U: 204}"
arrival and demographic,age_on_arrival,float64,Age in years on arrival at ED,"Range: 0.00 - 133.00,  Mean: 41.83, Std Dev: 22.28, NA: 171","Range: 0.00 - 106.00,  Mean: 53.10, Std Dev: 24.33, NA: 4","Range: 0.00 - 133.00,  Mean: 39.76, Std Dev: 21.24, NA: 167"
arrival and demographic,arrival_method,object,How the patient arrived at the ED,"Frequencies: {Amb no medic: 6,291, Ambulance: 28,869, Custodial se: 39, Med Flight: 15, Non-emergenc: 175, None: 21,223, Police: 1,612, Public Trans: 22,362, Walk-in: 121,758}","Frequencies: {Amb no medic: 2,152, Ambulance: 9,600, Custodial se: 5, Med Flight: 1, Non-emergenc: 44, None: 2,121, Police: 132, Public Trans: 2,702, Walk-in: 14,619}","Frequencies: {Amb no medic: 4,139, Ambulance: 19,269, Custodial se: 34, Med Flight: 14, Non-emergenc: 131, None: 19,102, Police: 1,480, Public Trans: 19,660, Walk-in: 107,139}"
location,current_location_type,object,Location in ED currently,"Frequencies: {<LocationType.MAJORS: majors>: 50,446, <LocationType.OTF: otf>: 159, <LocationType.PAEDS: paeds>: 18,654, <LocationType.RAT: rat>: 18,007, <LocationType.RESUS: resus>: 3,277, <LocationType.SDEC: sdec>: 21,395, <LocationType.SDEC_WAITING: sdec_waiting>: 12,653, <LocationType.TAF: taf>: 3,769, <LocationType.UNKNOWN: unknown>: 1, <LocationType.UTC: utc>: 56,999, <LocationType.WAITING: waiting>: 16,984}","Frequencies: {<LocationType.MAJORS: majors>: 13,411, <LocationType.OTF: otf>: 36, <LocationType.PAEDS: paeds>: 2,173, <LocationType.RAT: rat>: 3,987, <LocationType.RESUS: resus>: 2,076, <LocationType.SDEC: sdec>: 5,738, <LocationType.SDEC_WAITING: sdec_waiting>: 1,014, <LocationType.TAF: taf>: 55, <LocationType.UNKNOWN: unknown>: 1, <LocationType.UTC: utc>: 1,376, <LocationType.WAITING: waiting>: 1,509}","Frequencies: {<LocationType.MAJORS: majors>: 37,035, <LocationType.OTF: otf>: 123, <LocationType.PAEDS: paeds>: 16,481, <LocationType.RAT: rat>: 14,020, <LocationType.RESUS: resus>: 1,201, <LocationType.SDEC: sdec>: 15,657, <LocationType.SDEC_WAITING: sdec_waiting>: 11,639, <LocationType.TAF: taf>: 3,714, <LocationType.UTC: utc>: 55,623, <LocationType.WAITING: waiting>: 15,475}"
